Facility_ID,Facility_Name,State,LGA,Geopolitical_Zone,Facility_Type,Medicine_Name,Medicine_Category,WHO_Essential_List,Batch_Number,Manufacturing_Date,Expiry_Date,Manufacturer,Current_Stock_Level,Reorder_Level,Max_Capacity,Unit,Days_Of_Stock_Remaining,Last_Restocked_Date,Next_Expected_Delivery,Supplier_Name,Unit_Cost_Naira,Total_Stock_Value,Storage_Condition_Required,Actual_Storage_Condition,Cold_Chain_Compliant,Track_Trace_Enabled,Serialization_Code,Supply_Chain_Visibility,Stockout_Events_Last_6Months,Average_Monthly_Consumption,Wastage_Percentage_Last_Quarter,Quality_Verified,Regulatory_Compliance,Distribution_Lead_Time_Days,Warehouse_Temp_Log_Available,Status
FAC-KAN-8216,Tarauni Primary Health Centre,Kano,Tarauni,North_West,PHC,Metronidazole 400mg,Antibiotic,Yes,BN24953,2024-03-31,2026-08-16,Swipha,278,496,1655,Tablets,25.2,2025-05-04,2025-07-23,WHO Supply Division,169.02,46987.56,Room_Temp,Room_Temp,Yes,No,,Partial,5,331,11.4,Yes,NAFDAC,28,No,Low_Stock
FAC-KEB-2229,North Primary Health Centre,Kebbi,North,North_West,PHC,Tramadol 50mg,Analgesic,No,BN14278,2023-08-03,2026-07-22,Fidson Healthcare,279,934,4361,Tablets,13.4,2025-02-09,2025-06-26,,242.28,67596.12,Room_Temp,Room_Temp,Yes,No,,Partial,8,623,11.5,Yes,WHO_PQ,23,No,Critical
FAC-YOB-5102,General Hospital Nguru,Yobe,Nguru,North_East,General Hospital,Ibuprofen 400mg,Analgesic,Yes,BN86955,2023-07-06,2026-02-15,Dana Pharmaceuticals,2516,1030,7557,Tablets,109.9,2025-03-24,2025-07-18,NMSC,64.58,162483.28,Room_Temp,Room_Temp,Yes,Yes,SRL-3B1DE64854,Partial,3,687,3.2,Pending,NAFDAC,45,Yes,In_Stock
FAC-BAY-1601,General Hospital Rural B,Bayelsa,Rural B,South_South,General Hospital,Tenofovir/Lamivudine/Dolutegravir,ARV,Yes,BN62976,2022-01-03,2024-11-06,Cipla Nigeria,7210,985,7227,Tablets,329.2,2025-02-14,2025-07-09,Local Market Vendor,2954.14,21299349.4,Room_Temp,Room_Temp,Yes,No,,Partial,2,657,7.4,Pending,NAFDAC,10,Yes,In_Stock
FAC-JIG-3522,Federal Teaching Hospital East,Jigawa,East,North_West,Teaching Hospital,Metronidazole 400mg,Antibiotic,Yes,BN71894,2022-10-24,2024-11-19,Swipha,560,136,728,Tablets,184.6,2025-02-09,2025-06-24,Local Market Vendor,95.83,53664.8,Room_Temp,Room_Temp,Yes,Yes,SRL-2690E80347,Full,6,91,5.1,Yes,NAFDAC,14,Yes,In_Stock
FAC-RIV-4090,Rivers University Teaching Hospital,Rivers,Eleme,South_South,Teaching Hospital,Ciprofloxacin 500mg,Antibiotic,Yes,BN15720,2024-08-26,2027-08-18,Chi Pharma,1181,1030,4122,Tablets,51.6,2025-05-03,2025-07-06,Prohealth Medical,416.03,491331.43,Room_Temp,Room_Temp,Yes,Yes,SRL-5691C925DC,Partial,1,687,1.7,Yes,WHO_PQ,8,No,In_Stock
FAC-KWA-7512,General Hospital South,Kwara,South,North_Central,General Hospital,Ibuprofen 400mg,Analgesic,Yes,BN51505,2024-09-26,2027-04-03,Chi Pharma,1359,471,2198,Tablets,129.8,2025-05-14,2025-07-05,Alpha Pharmacy,93.99,127732.41,Room_Temp,Room_Temp,Yes,Yes,SRL-37755CB875,Full,0,314,1.3,Yes,WHO_PQ,20,Yes,In_Stock
FAC-ADA-7267,Ward 10 PHC,Adamawa,North,North_East,PHC,Yellow Fever Vaccine,Vaccine,Yes,BN93611,2023-06-07,2026-04-19,Swipha,496,559,2984,Vials,39.9,2025-02-18,2025-07-09,,1674.41,830507.36,Refrigerated,Refrigerated,Yes,No,,None,7,373,10.0,Yes,NAFDAC,26,No,Low_Stock
FAC-SOK-5689,State General Hospital Sokoto,Sokoto,Tambuwal,North_West,General Hospital,Ciprofloxacin 500mg,Antibiotic,Yes,BN42850,2022-10-08,2025-07-12,Dana Pharmaceuticals,975,706,1884,Tablets,62.1,2025-02-16,2025-07-28,Community Health Supplies,227.42,221734.5,Room_Temp,Room_Temp,Yes,Yes,SRL-464C4C4C4A,Full,0,471,6.5,Yes,WHO_PQ,34,Yes,In_Stock
FAC-ENU-6549,Igbo-Eze North District Hospital,Enugu,Igbo-Eze North,South_East,General Hospital,Amoxicillin 250mg Capsules,Antibiotic,Yes,BN98647,2024/03/24,2026-10-15,Pfizer Nigeria,3480,727,4365,Tablets,215.3,2025-05-15,2025-06-12,NAFDAC Approved Vendor,85.07,296043.6,Room_Temp,Room_Temp,Yes,No,,Partial,2,485,11.9,Yes,WHO_PQ,8,Yes,In_Stock
FAC-KAT-5986,Katsina University Teaching Hospital,Katsina,Central,North_West,Teaching Hospital,Measles-Rubella Vaccine,Vaccine,Yes,BN58629,2024-05-08,30-Dec-2026,Swipha,0,655,3496,Vials,0.0,2025-03-26,2025-08-12,Drugfield Pharma,2532.58,0.0,Refrigerated,Refrigerated,Yes,Yes,SRL-94DA89388E,Full,0,437,7.9,Yes,NAFDAC,42,Yes,Out_of_Stock
FAC-AKW-1349,Central District Hospital,Akwa Ibom,Central,South_South,General Hospital,Amoxicillin 250mg Capsules,Antibiotic,Yes,BN18992,2023-03-01,21-Oct-2025,Pfizer Nigeria,330,256,684,Tablets,57.9,2025/04/20,2025-07-03,Alpha Pharmacy,66.49,21941.7,Room_Temp,Room_Temp,Yes,Yes,SRL-8E43F0EEB2,Partial,0,171,1.9,Yes,NAFDAC,7,Yes,In_Stock
FAC-ZAM-6931,Ward 9 PHC,Zamfara,Bungudu,North_West,PHC,BCG Vaccine,Vaccine,Yes,BN15683,2024-12-03,2026-10-07,Dana Pharmaceuticals,0,783,5742,Vials,0.0,2024-12-19,2025-07-01,USAID Supply Chain,1093.52,0.0,Refrigerated,Refrigerated,Yes,No,,None,4,522,13.0,Yes,NAFDAC,22,No,Out_of_Stock
FAC-NAS-4743,East PHC,Nasarawa,East,North_Central,PHC,Nevirapine 200mg,ARV,Yes,BN50966,2023-06-07,2025-06-24,May & Baker Nigeria,1456,693,2310,Tablets,94.5,2025-05-02,2025-07-27,Prohealth Medical,1105.21,1609185.76,Room_Temp,Room_Temp,Yes,No,,Partial,5,462,2.0,Yes,WHO_PQ,35,Yes,Expiring_Within_30Days
FAC-OND-2882,Ward 5 PHC,Ondo,Rural B,South_West,PHC,Lopinavir/Ritonavir 200/50mg,ARV,Yes,BN91490,2022-02-23,2024-11-07,Cipla Nigeria,1247,504,3024,Tablets,111.3,2025-01-08,2025-07-05,,4215.83,5257140.01,Room_Temp,Room_Temp,Yes,No,,Partial,2,336,5.6,Yes,WHO_PQ,14,No,Expired
FAC-SOK-7947,Ward 8 PHC,Sokoto,Sokoto North,North_West,PHC,Metronidazole 400mg,Antibiotic,Yes,BN24918,2022-08-16,01/06/2024,Greenfield Pharma,0,949,2532,Tablets,0.0,2025-02-06,2025-07-13,,149.64,0.0,Room_Temp,Room_Temp,Yes,No,,None,0,633,6.5,Yes,NAFDAC,32,Yes,In_Stock
FAC-ZAM-7626,Ward 12 PHC,Zamfara,Maru,North_West,PHC,Dihydroartemisinin-Piperaquine,Antimalarial,Yes,BN32527,2024-07-31,2027-07-07,Jawa International,159,834,2780,Tablets,8.6,2025-01-15,2025-07-05,,1211.94,192698.46,Room_Temp,Room_Temp,Yes,No,,Partial,4,556,11.3,Yes,WHO_PQ,18,No,Critical
FAC-ZAM-9095,Federal Teaching Hospital Kaura Namoda,Zamfara,Kaura Namoda,North_West,Teaching Hospital,Yellow Fever Vaccine,Vaccine,Yes,BN52363,2023-10-10,2025-03-12,Dana Pharmaceuticals,0,570,4560,Vials,0.0,2025-03-07,2025-07-05,NAFDAC Approved Vendor,2928.5,0.0,Refrigerated,Room_Temp,No,Yes,SRL-BF397F33AD,Full,0,380,26.5,Yes,NAFDAC,32,Yes,Expired
FAC-NIG-9214,General Hospital South,Niger,South,North_Central,General Hospital,Tenofovir/Lamivudine/Dolutegravir,ARV,Yes,BN76132,2022-03-22,2023-11-30,May & Baker Nigeria,2174,588,3528,Tablets,166.4,2025-05-13,2025-07-08,Mosad Medical,1783.52,3877372.48,Room_Temp,Room_Temp,Yes,No,,None,7,392,5.3,Yes,NAFDAC,35,Yes,Expired
FAC-OND-7421,Ondo University Teaching Hospital,Ondo,South,South_West,Teaching Hospital,Nevirapine 200mg,ARV,Yes,BN26750,2024-12-14,2026-03-19,Jawa International,1301,306,1428,Tablets,191.3,2025-01-07,2025-06-08,Medplus Logistics,1083.32,1409399.32,Room_Temp,Room_Temp,Yes,Yes,SRL-245DDB050A,Full,0,204,4.6,Yes,NAFDAC,5,Yes,In_Stock
FAC-JIG-3522,Federal Teaching Hospital East,Rivers,Obio-Akpor,South_South,PHC,Ibuprofen 400mg,Analgesic,Yes,BN90031,2024-07-08,2026-03-04,Swipha,1748,594,4356,Tablets,132.4,2025-03-20,2025-07-02,Drugfield Pharma,46.76,81736.48,Room_Temp,Room_Temp,Yes,No,,None,1,396,10.4,Yes,WHO_PQ,5,No,In_Stock
FAC-BEN-3414,Benue University Teaching Hospital,Benue,East,North_Central,Teaching Hospital,Ciprofloxacin 500mg,Antibiotic,Yes,BN55820,2024-04-29,2025-06-22,AstraZeneca Nigeria,211,373,996,Tablets,25.4,2025-05-18,2025-07-31,Alpha Pharmacy,217.15,45818.65,Room_Temp,Room_Temp,Yes,Yes,SRL-740E61F9C8,Full,3,249,7.4,Yes,NAFDAC,35,Yes,Expiring_Within_30Days
FAC-BOR-3449,Ward 9 PHC,Borno,Bama,North_East,PHC,Lopinavir/Ritonavir 200/50mg,ARV,Yes,BN41147,2022-04-08,2023-12-08,Fidson Healthcare,0,946,7572,Tablets,0.0,2025-03-22,2025-07-04,,3782.96,0.0,Room_Temp,Room_Temp,Yes,No,,Partial,8,631,4.0,No,Non_Compliant,14,No,Expired
FAC-FCT-2403,Federal Teaching Hospital Abaji,Enugu,Enugu North,South_East,General Hospital,Efavirenz/Lamivudine/Tenofovir,ARV,Yes,BN92346,12-Nov-2023,2025-03-27,Strides Shasun Nigeria,1278,298,2189,Tablets,192.7,2024-12-19,2025-07-09,NMSC,1296.16,1656492.48,Room_Temp,Room_Temp,Yes,Yes,SRL-5646159FDB,Full,0,199,1.3,Pending,NAFDAC,14,No,Expired
FAC-KWA-4131,Central District Hospital,Kwara,Central,North_Central,General Hospital,Artesunate Injection 60mg,Antimalarial,Yes,BN45811,2024-01-24,2026-04-15,Jawa International,1068,316,2321,Tablets,151.8,2024-12-24,2025-07-14,Community Health Supplies,2585.64,2761463.52,Room_Temp,Room_Temp,Yes,No,,None,2,211,4.0,Yes,WHO_PQ,41,Yes,In_Stock
FAC-CRO-6776,Central District Hospital,Cross River,Central,South_South,General Hospital,Artesunate Injection 60mg,Antimalarial,Yes,BN63242,2022-11-24,2023-12-25,Strides Shasun Nigeria,0,82,330,Tablets,0.0,2025-03-11,2025-06-14,USAID Supply Chain,1552.91,0.0,Room_Temp,Room_Temp,Yes,Yes,SRL-6D316BF7D4,Full,1,55,7.6,Yes,NAFDAC,12,No,Expired
FAC-FCT-4048,Ward 8 PHC,FCT,AMAC,North_Central,PHC,Measles-Rubella Vaccine,Vaccine,Yes,BN44116,2023-03-16,2025-12-01,Cipla Nigeria,2546,723,2892,Vials,158.5,2025-05-26,2025-07-26,Mosad Medical,1967.49,5009229.54,Refrigerated,Refrigerated,Yes,Yes,SRL-DF9B4B3DB5,Full,3,482,7.2,Yes,NAFDAC,34,No,In_Stock
FAC-JIG-4878,General Hospital North,Jigawa,North,North_West,General Hospital,Yellow Fever Vaccine,Vaccine,Yes,BN82305,26/06/2022,2023-09-01,Cipla Nigeria,0,912,3040,Vials,0.0,2025-04-14,2025-07-11,,2760.53,0.0,Refrigerated,Room_Temp,No,No,,None,8,608,22.7,Yes,NAFDAC,36,No,In_Stock
FAC-PLA-9501,Plateau University Teaching Hospital,Plateau,South,North_Central,Teaching Hospital,Paracetamol 500mg,Analgesic,Yes,BN26406,2024-12-28,2026-04-02,Fidson Healthcare,5658,1041,6246,Tablets,244.6,2024-12-10,2025-06-21,NAFDAC Approved Vendor,66.26,374899.08,Room_Temp,Room_Temp,Yes,Yes,SRL-3B3F525733,Partial,3,694,5.6,Yes,WHO_PQ,19,Yes,In_Stock
FAC-OGU-7653,Sagamu PHC,Ogun,Sagamu,South_West,PHC,Artesunate Injection 60mg,Antimalarial,Yes,BN73471,2023-11-28,2026-08-10,Chi Pharma,2076,559,3730,Tablets,167.0,2024-12-30,2025-06-16,,2234.07,4637929.32,Room_Temp,Room_Temp,Yes,Yes,SRL-B633D3DDB7,Full,0,373,1.7,Yes,WHO_PQ,8,No,In_Stock
FAC-OYO-4110,West District Hospital,Oyo,West,South_West,General Hospital,Pentavalent Vaccine (DPT-HepB-Hib),Vaccine,Yes,BN75191,2024-03-16,2026-08-15,Fidson Healthcare,1012,946,6941,Vials,48.1,2025-02-08,2025-06-26,Unknown Supplier,2888.79,2923455.48,Refrigerated,Refrigerated,Yes,No,,None,1,631,2.3,Yes,WHO_PQ,14,Yes,In_Stock
FAC-JIG-7453,Federal Teaching Hospital North,Jigawa,North,North_West,Teaching Hospital,Efavirenz/Lamivudine/Tenofovir,ARV,Yes,BN88966,2024-10-21,2025-12-01,Pfizer Nigeria,2841,730,2922,Tablets,175.0,2025-05-08,2025-07-10,Community Health Supplies,3775.6,10726479.6,Room_Temp,Room_Temp,Yes,Yes,SRL-33D469BCD4,Full,6,487,6.9,Yes,NAFDAC,34,Yes,In_Stock
FAC-BOR-2795,Ward 7 PHC,Borno,Gwoza,North_East,PHC,Diclofenac 50mg,Analgesic,Yes,BN13492,2023-06-28,2026-04-29,Strides Shasun Nigeria,98,291,2328,Tablets,15.2,2024-12-11,2025-06-28,HealthPlus Distribution,118.63,11625.74,Room_Temp,Room_Temp,Yes,No,,None,5,194,3.8,Yes,NAFDAC,21,No,Critical
FAC-OYO-7173,Rural A Primary Health Centre,Oyo,Rural A,South_West,PHC,Measles-Rubella Vaccine,Vaccine,Yes,BN98587,2023-06-26,2026-03-11,Jawa International,1473,472,2205,Vials,140.3,2025-02-11,2025-06-11,USAID Supply Chain,1652.43,2434029.39,Refrigerated,Room_Temp,No,No,,Partial,2,315,71.0,Yes,WHO_PQ,7,No,In_Stock
FAC-ENU-9824,Ward 5 PHC,enugu,Enugu South,South_East,PHC,Amoxicillin 250mg Capsules,Antibiotic,Yes,BN86917,2022-04-14,2025-02-27,Roche Nigeria,1035,754,2515,Tablets,61.7,2025-03-17,2025-07-13,NMSC,79.92,82717.2,Room_Temp,Room_Temp,Yes,No,,Partial,2,503,3.7,Yes,NAFDAC,13,Yes,In_Stock
FAC-DEL-1595,Rural B PHC,Delta,Rural B,South_South,PHC,Diclofenac 50mg,Analgesic,Yes,BN47941,2022-01-19,2023-11-20,AstraZeneca Nigeria,1963,864,6912,Tablets,102.2,2024-12-31,2025-06-14,Local Market Vendor,96.02,188487.26,Room_Temp,Room_Temp,Yes,No,,Partial,0,576,11.4,Yes,NAFDAC,8,No,Expired
FAC-ANA-2562,South Primary Health Centre,Anambra,South,South_East,PHC,Ciprofloxacin 500MG,Antibiotic,Yes,BN40870,2023-07-01,2025-06-02,Chi Pharma,205,124,415,Tablets,74.1,2025-06-01,2025-06-30,Prohealth Medical,433.97,88963.85,Room_Temp,Room_Temp,Yes,No,,None,3,83,4.9,Yes,NAFDAC,7,No,Expiring_Within_30Days
FAC-ABI-4578,State General Hospital Abia,Abia,Rural B,South_East,General Hospital,Chloroquine Phosphate 250mg,Antimalarial,Yes,BN56025,2022-05-07,2024-11-17,Greenfield Pharma,106,828,6072,Tablets,5.8,2025-03-27,2025-06-18,Alpha Pharmacy,167.25,17728.5,Room_Temp,Room_Temp,Yes,No,,None,3,552,2.2,Yes,NAFDAC,3,Yes,Expired
FAC-YOB-2044,Nguru Primary Health Centre,Yobe,Nguru,North_East,PHC,Chloroquine Phosphate 250mg,Antimalarial,Yes,BN14159,04-Jan-2023,2024-05-21,Swipha,501,616,4521,Tablets,36.6,2025-04-20,2025-07-13,,110.34,55280.34,Room_Temp,Room_Temp,Yes,No,,None,7,411,8.4,Yes,WHO_PQ,22,No,In_Stock
FAC-RIV-8546,Bonny Primary Health Centre,Rivers,Bonny,South_South,PHC,Diclofenac 50mg,Analgesic,Yes,BN96533,2022-02-02,2023-10-06,Emzor Pharmaceuticals,308,103,483,Tablets,133.9,2024-12-17,2025-06-22,,188.3,57996.4,Room_Temp,Room_Temp,Yes,No,,None,3,69,9.1,Yes,WHO_PQ,5,No,Expired
FAC-BEN-3869,Ward 11 PHC,Benue,Central,North_Central,PHC,OPV (Oral Polio Vaccine),Vaccine,Yes,BN94320,2024-12-10,2026-11-01,Jawa International,670,375,2000,Vials,80.4,2025-04-25,2025-08-10,Community Health Supplies,423.75,283912.5,Frozen,Frozen,Yes,No,,Partial,1,250,4.1,Yes,NAFDAC,40,Yes,In_Stock
FAC-YOB-4555,Damaturu Primary Health Centre,yobe,Damaturu,North_East,PHC,Tenofovir/Lamivudine/Dolutegravir,ARV,Yes,BN12009,2023-01-25,05-24-2024,AstraZeneca Nigeria,145,639,2982,Tablets,10.2,2025-02-07,2025-07-24,NMSC,3908.45,566725.25,Room_Temp,Room_Temp,Yes,No,,None,7,426,9.2,Pending,NAFDAC,37,No,In_Stock
FAC-DEL-6404,South PHC,Delta,South,South_South,PHC,Ciprofloxacin 500mg,Antibiotic,Yes,BN99764,2024/09/27,2027-07-16,Strides Shasun Nigeria,278,868,6369,Tablets,14.4,2025-04-16,2025-06-30,,400.86,111439.08,Room_Temp,Room_Temp,Yes,No,,None,0,579,7.3,Yes,NAFDAC,3,Yes,Critical
FAC-ENU-1108,Ward 9 PHC,Enugu,Oji River,South_East,PHC,Artemether-Lumefantrine 20/120mg,Antimalarial,Yes,BN80220,2022-02-05,2024/07/03,Fidson Healthcare,25,177,1416,Tablets,6.4,2025-03-14,2025-06-16,Community Health Supplies,495.92,12398.0,Room_Temp,Room_Temp,Yes,No,,None,2,118,5.8,No,NAFDAC,4,Yes,Expired
FAC-SOK-2354,Sokoto North District Hospital,Sokoto,Sokoto North,North_West,General Hospital,Tenofovir/Lamivudine/Dolutegravir,ARV,Yes,BN22499,2022-03-29,11-19-2023,Novartis Nigeria,0,759,4048,Tablets,0.0,2025-04-21,2025-06-22,,2443.45,0.0,Room_Temp,Room_Temp,Yes,Yes,SRL-C749B8E23D,Partial,0,506,5.1,Yes,NAFDAC,16,No,In_Stock
FAC-RIV-6435,State General Hospital Rivers,Rivers,Ahoada East,South_South,General Hospital,Tramadol 50mg,Analgesic,No,BN14278,2023-04-21,2024-07-06,Greenfield Pharma,1333,531,1416,Tablets,113.0,2025-03-09,2025-06-15,NAFDAC Approved Vendor,325.76,434238.08,Room_Temp,Room_Temp,Yes,No,,None,1,354,9.2,Yes,WHO_PQ,9,Yes,Expired
FAC-RIV-2499,Ikwerre PHC,Rivers,Ikwerre,South_South,PHC,Morphine 10mg/ml Injection,Analgesic,Yes,BN21442,2024-07-08,2027-01-29,GSK Nigeria,1049,948,5688,Tablets,49.8,2024/12/24,2025-07-13,WHO Supply Division,4930.15,5171727.35,Room_Temp,Room_Temp,Yes,No,,None,4,632,3.3,Pending,NAFDAC,14,Yes,In_Stock
